SR. NO.,District,Taluka,Village Name
150,Osmanabad,Lohara,Tornba
151,Osmanabad,Lohara,Haralli
152,Osmanabad,Lohara,Karwanji
153,Osmanabad,Lohara,Hipprga (S)
154,Osmanabad,Lohara,Dhanuri
155,Osmanabad,Lohara,Khed
156,Osmanabad,Lohara,Nagur
157,Osmanabad,Lohara,Holli
158,Osmanabad,Lohara,Murshdpur
159,Osmanabad,Lohara,Ekondi (Lo)
160,Osmanabad,Lohara,Salegaon
161,Osmanabad,Lohara,Jevali
162,Osmanabad,Lohara,Phanepur
163,Osmanabad,Lohara,Wadgaon (Ga)
164,Osmanabad,Lohara,Wadi Wadgaon
165,Osmanabad,Lohara,Vi. Pandhri
166,Osmanabad,Lohara,Dastapur
167,Osmanabad,Lohara,Ko.Pandhri
168,Osmanabad,Lohara,Bhosga
169,Osmanabad,Umrga,Dalinb
170,Osmanabad,Umrga,Korala
171,Osmanabad,Umrga,Supatgaon
172,Osmanabad,Umrga,Balsur
173,Osmanabad,Umrga,Vantal
174,Osmanabad,Umrga,Rampur
175,Osmanabad,Umrga,Ekurga
176,Osmanabad,Umrga,Ekurgaowadi
177,Osmanabad,Umrga,Koregaon
178,Osmanabad,Umrga,Koregaonwadi
179,Osmanabad,Umrga,Jakekurwadi
180,Osmanabad,Umrga,Jakekur
181,Osmanabad,Umrga,Auraad
182,Osmanabad,Umrga,Yeli
183,Osmanabad,Umrga,Chincholi Bhu.
184,Osmanabad,Umrga,Bhusani
185,Osmanabad,Umrga,Mahalingraiwadi
186,Osmanabad,Umrga,Davalmlikwadi
187,Osmanabad,Umrga,Katewadi
188,Osmanabad,Umrga,Anatpur
189,Osmanabad,Umrga,Varnalwadi
190,Osmanabad,Umrga,Sundrwadi
191,Osmanabad,Umrga,Kesarjalga
192,Osmanabad,Umrga,Narangwadi
193,Osmanabad,Umrga,Bori
194,Osmanabad,Umrga,Matola
195,Osmanabad,Umrga,Babalsur
196,Osmanabad,Umrga,Pethsangvi
197,Osmanabad,Umrga,Javlgabet
198,Osmanabad,Umrga,Kaldeo Nimbala
199,Osmanabad,Umrga,Kal Nimbala
200,Osmanabad,Umrga,Kaddora
201,Osmanabad,Umrga,Samudral
202,Osmanabad,Umrga,Madaj
203,Osmanabad,Umrga,Gugalgaon
204,Osmanabad,Umrga,Wagdari
205,Osmanabad,Umrga,Kavtha
206,Osmanabad,Umrga,Naichakur
207,Osmanabad,Umrga,Savalsur
208,Osmanabad,Umrga,Bhagatwadi
209,Osmanabad,Umrga,Chirewadi
210,Osmanabad,Umrga,Kolewadi
211,Osmanabad,Umrga,Mulaj
212,Osmanabad,Umrga,Trikoli
213,Osmanabad,Umrga,Malgi
214,Osmanabad,Umrga,Malgiwadi
215,Osmanabad,Umrga,Guruwadi
216,Osmanabad,Umrga,Chendkal
217,Osmanabad,Umrga,Talmad
218,Osmanabad,Umrga,Jadalwad
219,Osmanabad,Umrga,Dhaktewadi
