SR. NO.,District,Taluka,Village Name
1844,Ahmednagar,Shrigaonda,Dorja
1845,Ahmednagar,Shrigaonda,Chamburdi
1846,Ahmednagar,Shevgaon,Aghodi
1847,Ahmednagar,Shevgaon,Aantarwali Kr
1848,Ahmednagar,Shevgaon,Badgawan
1849,Ahmednagar,Shevgaon,Chedechandgaon
1850,Ahmednagar,Shevgaon,Ladjalgaon
1851,Ahmednagar,Shevgaon,Mangrul Br.
1852,Ahmednagar,Shevgaon,Najik Babulgaon
1853,Ahmednagar,Shevgaon,Ranegaon
1854,Ahmednagar,Shevgaon,Sulpimpalgaon
1855,Ahmednagar,Shevgaon,Shingori
1856,Ahmednagar,Shevgaon,Shekte Br
1857,Ahmednagar,Shevgaon,Takur Nimgaon
1858,Ahmednagar,Shevgaon,Aantarwali Br
1859,Ahmednagar,Shevgaon,Bodegaon
1860,Ahmednagar,Shevgaon,Diwate
1861,Ahmednagar,Shevgaon,Konoshi
1862,Ahmednagar,Shevgaon,Malegaon N
1863,Ahmednagar,Shevgaon,Manglur Kr
1864,Ahmednagar,Shevgaon,Rakshi
1865,Ahmednagar,Shevgaon,Salwadgaon
1866,Ahmednagar,Shevgaon,Sonesangwi
1867,Ahmednagar,Shevgaon,Shobhanagar
1868,Ahmednagar,Shevgaon,Shekte Kr
1869,Ahmednagar,Shevgaon,Thate
1870,Ahmednagar,Shevgaon,Amrapur
1871,Ahmednagar,Shevgaon,Aawane Br
1872,Ahmednagar,Shevgaon,Antarwali Kr
1873,Ahmednagar,Shevgaon,Bhawinimgaon
1874,Ahmednagar,Shevgaon,Bhatkudgaon
1875,Ahmednagar,Shevgaon,Baktpur
1876,Ahmednagar,Shevgaon,Dhorhingni
1877,Ahmednagar,Shevgaon,Dhorjalgaon She
1878,Ahmednagar,Shevgaon,Hahigaon She
1879,Ahmednagar,Shevgaon,Deotakli
1880,Ahmednagar,Shevgaon,Eradgaon
1881,Ahmednagar,Shevgaon,Garadwadi
1882,Ahmednagar,Shevgaon,Aakegaon Titarfha
1883,Ahmednagar,Shevgaon,Aawane Kr
1884,Ahmednagar,Shevgaon,Aantre
1885,Ahmednagar,Shevgaon,Bodhke
1886,Ahmednagar,Shevgaon,Balamtakli
1887,Ahmednagar,Shevgaon,Brahnapur
1888,Ahmednagar,Shevgaon,Dongar Aakhegaon
1889,Ahmednagar,Shevgaon,Dhahigaon Ne
1890,Ahmednagar,Shevgaon,Dhorjalgaon Ne
1891,Ahmednagar,Shevgaon,Dhorsade
1892,Ahmednagar,Shevgaon,Deolane
1893,Ahmednagar,Shevgaon,Gaikwad Jalgaon
1894,Ahmednagar,Shevgaon,Ghewari
1895,Ahmednagar,Shevgaon,Hingangaon Ne
1896,Ahmednagar,Shevgaon,Joharapur
1897,Ahmednagar,Shevgaon,Khuntepal
1898,Ahmednagar,Shevgaon,Karhetakli
1899,Ahmednagar,Shevgaon,Khadke
1900,Ahmednagar,Shevgaon,Lolegaon
1901,Ahmednagar,Shevgaon,Madke
1902,Ahmednagar,Shevgaon,Mungi
1903,Ahmednagar,Shevgaon,Nimbe
1904,Ahmednagar,Shevgaon,Prabhu Wadgaon
1905,Ahmednagar,Shevgaon,Shajapur
1906,Ahmednagar,Shevgaon,Shahar Takli
1907,Ahmednagar,Shevgaon,Samangaon
1908,Ahmednagar,Shevgaon,Takur Pimpalgaon
1909,Ahmednagar,Shevgaon,Warrur Kr
1910,Ahmednagar,Shevgaon,Wadule Kr
1911,Ahmednagar,Shevgaon,Vijaypur
1912,Ahmednagar,Shevgaon,Rawtale
1913,Ahmednagar,Shevgaon,Khardgaon
1914,Ahmednagar,Shevgaon,Karjat Krud
1915,Ahmednagar,Shevgaon,Khampimpri
1916,Ahmednagar,Shevgaon,Krudgaon
1917,Ahmednagar,Shevgaon,Lakhephal
1918,Ahmednagar,Shevgaon,Majleshar
1919,Ahmednagar,Shevgaon,Nandur Vihir
1920,Ahmednagar,Shevgaon,Pingewadi
1921,Ahmednagar,Shevgaon,Sultanpur Kr
1922,Ahmednagar,Shevgaon,Sultanpur Br
1923,Ahmednagar,Shevgaon,Sonvihir
1924,Ahmednagar,Shevgaon,Tajnapur
1925,Ahmednagar,Shevgaon,Warur Br
1926,Ahmednagar,Shevgaon,Wadule Br
1927,Ahmednagar,Shevgaon,Ranjani.
1928,Ahmednagar,Pathardi,Shirsatwadi
1929,Ahmednagar,Pathardi,Kewandi
1930,Ahmednagar,Pathardi,Niwdunge
1931,Ahmednagar,Pathardi,Dawalewadi
1932,Ahmednagar,Pathardi,Sangwai Kr
1933,Ahmednagar,Pathardi,Tanpurwadi
1934,Ahmednagar,Pathardi,Dhamngaon
1935,Ahmednagar,Pathardi,Hatral
1936,Ahmednagar,Pathardi,Sangawai Br
1937,Ahmednagar,Pathardi,Aalhanwadi
1938,Ahmednagar,Pathardi,Pirewadi
1939,Ahmednagar,Pathardi,Patrycha Tanda
1940,Ahmednagar,Pathardi,Borsewadi
1941,Ahmednagar,Pathardi,Ghumatwadi
1942,Ahmednagar,Pathardi,Kutarwadi
1943,Ahmednagar,Pathardi,Manikdaoundi
1944,Ahmednagar,Pathardi,Chekewadi
1945,Ahmednagar,Pathardi,Landakwadi
1946,Ahmednagar,Pathardi,Chitalwadi
1947,Ahmednagar,Pathardi,Jatdeole
1948,Ahmednagar,Pathardi,Chincpur Ijde
1949,Ahmednagar,Pathardi,Pimpalgaon Tappa
1950,Ahmednagar,Pathardi,Mohota
1951,Ahmednagar,Pathardi,Karanii
1952,Ahmednagar,Pathardi,Ghatshiras
1953,Ahmednagar,Pathardi,Wajubabalgaon
1954,Ahmednagar,Pathardi,Lohasar
1955,Ahmednagar,Pathardi,Mohoj Br
1956,Ahmednagar,Pathardi,Karadwadi
1957,Ahmednagar,Pathardi,Mohoj Kur
1958,Ahmednagar,Pathardi,Chinchodi
1959,Ahmednagar,Pathardi,Dharwadi
1960,Ahmednagar,Pathardi,Raghehiwre
1961,Ahmednagar,Pathardi,Kolhar
1962,Ahmednagar,Pathardi,Takli Manur
1963,Ahmednagar,Pathardi,Jambli
1964,Ahmednagar,Pathardi,Chinchpur Pangul
1965,Ahmednagar,Pathardi,Jogewadi
1966,Ahmednagar,Pathardi,Dakanwadi
1967,Ahmednagar,Pathardi,Midsangwi
1968,Ahmednagar,Pathardi,Munguswadi
1969,Ahmednagar,Pathardi,Tinkadi
1970,Ahmednagar,Pathardi,Bhilwade
1971,Ahmednagar,Pathardi,Jawalwadi
1972,Ahmednagar,Pathardi,Bharajwadi
1973,Ahmednagar,Pathardi,Eknatwadi
1974,Ahmednagar,Pathardi,Nandur Nimbadity
1975,Ahmednagar,Pathardi,Agaskhand
1976,Ahmednagar,Pathardi,Tonodoli
1977,Ahmednagar,Pathardi,Madhi
1978,Ahmednagar,Pathardi,Dangewadi
1979,Ahmednagar,Pathardi,Malibabulgaon
1980,Ahmednagar,Pathardi,Kalegaon Fakir
1981,Ahmednagar,Pathardi,Koudgaon
1982,Ahmednagar,Pathardi,Tribuwanwadi
1983,Ahmednagar,Pathardi,Deorai
1984,Ahmednagar,Pathardi,Somtane Kr
1985,Ahmednagar,Pathardi,Satwad
1986,Ahmednagar,Pathardi,Joharawadi
1987,Ahmednagar,Pathardi,Renukai Wadi
1988,Ahmednagar,Pathardi,Kamatshingwe
1989,Ahmednagar,Pathardi,Kasar Pimpalgaon
1990,Ahmednagar,Pathardi,Kopare
1991,Ahmednagar,Pathardi,Shankarwadi
1992,Ahmednagar,Pathardi,Keshovshingwe
1993,Ahmednagar,Pathardi,Jawkhed Khalsa
1994,Ahmednagar,Pathardi,Hanuman Taklli
1995,Ahmednagar,Pathardi,Jawkhed Dumala
1996,Ahmednagar,Pathardi,Bodarwadi
1997,Ahmednagar,Pathardi,Pimpalgawan
1998,Ahmednagar,Pathardi,Palwewadi
1999,Ahmednagar,Pathardi,Mohojdewde
2000,Ahmednagar,Pathardi,Badewadi
2001,Ahmednagar,Pathardi,Kolsangawi
2002,Ahmednagar,Pathardi,Ghaitadakwadi
2003,Ahmednagar,Pathardi,Rupnerwadi
2004,Ahmednagar,Pathardi,Pagori Pimpalgaon
2005,Ahmednagar,Pathardi,Nipani Jalgaon
2006,Ahmednagar,Pathardi,Bhute Takli
2007,Ahmednagar,Pathardi,Prabhupimpri
2008,Ahmednagar,Pathardi,Dulechandgaon
2009,Ahmednagar,Pathardi,Sursuare
2010,Ahmednagar,Pathardi,Somtane Br.
2011,Ahmednagar,Pathardi,Wasu
2012,Ahmednagar,Pathardi,Shekate
2013,Ahmednagar,Pathardi,Kalaspimpri
2014,Ahmednagar,Newasa,Wanjoli
2015,Ahmednagar,Newasa,Antarwali
2016,Ahmednagar,Newasa,Sultanpur
2017,Ahmednagar,Newasa,Karajgaon
2018,Ahmednagar,Newasa,Tamaswadi
2019,Ahmednagar,Newasa,Barhanpur
2020,Ahmednagar,Newasa,Mhalaspimpalgaon
2021,Ahmednagar,Newasa,Karegaon
2022,Ahmednagar,Newasa,Gondegaon
2023,Ahmednagar,Newasa,Babhulkheda
2024,Ahmednagar,Newasa,Warkhed
2025,Ahmednagar,Newasa,Gopalpur
2026,Ahmednagar,Newasa,Suregaon
2027,Ahmednagar,Newasa,Shirasgaon
2028,Ahmednagar,Newasa,Borgaon
2029,Ahmednagar,Newasa,Imampur
2030,Ahmednagar,Newasa,Dhamori
2031,Ahmednagar,Newasa,Amlner
2032,Ahmednagar,Newasa,Panegaon
2033,Ahmednagar,Newasa,Kharwandi
2034,Ahmednagar,Newasa,Kangoni
2035,Ahmednagar,Newasa,Narayanwadi
2036,Ahmednagar,Newasa,Rajegaon
2037,Ahmednagar,Newasa,Wadala
2038,Ahmednagar,Newasa,Ranjangaon
2039,Ahmednagar,Newasa,Nagapur
2040,Ahmednagar,Newasa,Dighi
2041,Ahmednagar,Newasa,Malewadi
2042,Ahmednagar,Newasa,Khamgaon
2043,Ahmednagar,Newasa,Wakdi
2044,Ahmednagar,Newasa,Gogalgaon
2045,Ahmednagar,Newasa,Chinchban
2046,Ahmednagar,Newasa,Khadka
2047,Ahmednagar,Newasa,Bhalgaon
2048,Ahmednagar,Newasa,Bahirwadi
2049,Ahmednagar,Newasa,Ghogargaon
2050,Ahmednagar,Newasa,Deogaon
2051,Ahmednagar,Newasa,Pachegaon
2052,Ahmednagar,Newasa,Dhangarwadi
2053,Ahmednagar,Nagar,Chas
2054,Ahmednagar,Nagar,Sonewadi
2055,Ahmednagar,Nagar,Mandve
2056,Ahmednagar,Nagar,Ukadgaon
2057,Ahmednagar,Nagar,Kolhewadi
2058,Ahmednagar,Nagar,Nimbodi
2059,Ahmednagar,Nagar,Shahapur
2060,Ahmednagar,Nagar,Imampur
2061,Ahmednagar,Nagar,Sasewadi
2062,Ahmednagar,Nagar,Dhangarwadi
2063,Ahmednagar,Nagar,Dongargan
2064,Ahmednagar,Nagar,Nalegaon
2065,Ahmednagar,Nagar,Malewadi
2066,Ahmednagar,Nagar,Walki
2067,Ahmednagar,Nagar,Khandala
2068,Ahmednagar,Nagar,Aarangaon
2069,Ahmednagar,Nagar,Khadki
2070,Ahmednagar,Nagar,Devgaon
2071,Ahmednagar,Nagar,Shendi
2072,Ahmednagar,Nagar,Jakhangaon
2073,Ahmednagar,Nagar,Hingangaon
2074,Ahmednagar,Nagar,Sonewadi
2075,Ahmednagar,Nagar,Pargaon
2076,Ahmednagar,Nagar,Kawadgaon
2077,Ahmednagar,Nagar,Balewadi
2078,Ahmednagar,Nagar,Rajani
2079,Ahmednagar,Nagar,Parewadi
2080,Ahmednagar,Nagar,Nagapur
2081,Ahmednagar,Nagar,Nandgaon
2082,Ahmednagar,Nagar,Islampur
2083,Ahmednagar,Nagar,Walunj
2084,Ahmednagar,Nagar,Dahigaon
2085,Ahmednagar,Kopergaon,Bahadarpur
2086,Ahmednagar,Kopergaon,Dhondewadi
2087,Ahmednagar,Kopergaon,Shahapur
2088,Ahmednagar,Kopergaon,Soygaon
2089,Ahmednagar,Kopergaon,Manegaon
2090,Ahmednagar,Kopergaon,Kopergaon
2091,Ahmednagar,Kopergaon,Yesgaon
2092,Ahmednagar,Kopergaon,Dharangaon
2093,Ahmednagar,Kopergaon,Chandgaon
2094,Ahmednagar,Kopergaon,Pedgaon
2095,Ahmednagar,Kopergaon,Shirasgaon
2096,Ahmednagar,Kopergaon,Gondegaon
2097,Ahmednagar,Kopergaon,Aapegaon
2098,Ahmednagar,Kopergaon,Karegaon
2099,Ahmednagar,Kopergaon,Dhotre
2100,Ahmednagar,Kopergaon,Ravande
2101,Ahmednagar,Kopergaon,Ravande
2102,Ahmednagar,Kopergaon,Takali
2103,Ahmednagar,Kopergaon,Murshatpur
2104,Ahmednagar,Kopergaon,Dhamori
2105,Ahmednagar,Kopergaon,Suregaon
2106,Ahmednagar,Kopergaon,Hingani
2107,Ahmednagar,Kopergaon,Ghari
2108,Ahmednagar,Kopergaon,Kasali
2109,Ahmednagar,Kopergaon,Ukadgaon
2110,Ahmednagar,Kopergaon,Sade
2111,Ahmednagar,Karjat,Karjat
2112,Ahmednagar,Karjat,Koregaon
2113,Ahmednagar,Karjat,Bhandewadi
2114,Ahmednagar,Karjat,Kolwadi
2115,Ahmednagar,Karjat,Belgaon
2116,Ahmednagar,Karjat,Nagalwadi
2117,Ahmednagar,Karjat,Kokangaon
2118,Ahmednagar,Karjat,Holewadi
2119,Ahmednagar,Karjat,Khed
2120,Ahmednagar,Karjat,Chilwadi
2121,Ahmednagar,Karjat,Kalewadi
2122,Ahmednagar,Karjat,Mulewadi
2123,Ahmednagar,Karjat,Thergaon
2124,Ahmednagar,Karjat,Bhose
2125,Ahmednagar,Karjat,Malewadi
2126,Ahmednagar,Karjat,Nandgaon
2127,Ahmednagar,Karjat,Shinde
2128,Ahmednagar,Karjat,Nimbodi
2129,Ahmednagar,Karjat,Anandwadi
2130,Ahmednagar,Karjat,Chapadgaon
2131,Ahmednagar,Karjat,Khandala
2132,Ahmednagar,Karjat,Nagapur
2133,Ahmednagar,Karjat,Jalgaon
2134,Ahmednagar,Karjat,Handalwadi
2135,Ahmednagar,Karjat,Hingangaon
2136,Ahmednagar,Karjat,Pimpalwadi
2137,Ahmednagar,Jamkehed,Jamkehed
2138,Ahmednagar,Jamkehed,Dhotri
2139,Ahmednagar,Jamkehed,Chumbli
2140,Ahmednagar,Jamkehed,Moha
2141,Ahmednagar,Jamkehed,Savargaon
2142,Ahmednagar,Jamkehed,Ratnapur
2143,Ahmednagar,Jamkehed,Sakat
2144,Ahmednagar,Jamkehed,Pimpalwadi
2145,Ahmednagar,Jamkehed,Shirur
2146,Ahmednagar,Jamkehed,Padali
2147,Ahmednagar,Jamkehed,Saradvadi
2148,Ahmednagar,Jamkehed,Sangvi
2149,Ahmednagar,Jamkehed,Jategaon
2150,Ahmednagar,Jamkehed,Malevadi
2151,Ahmednagar,Jamkehed,Vanjarvadi
2152,Ahmednagar,Jamkehed,Satephal
2153,Ahmednagar,Jamkehed,Dhanegaon
2154,Ahmednagar,Jamkehed,Naigaon
2155,Ahmednagar,Jamkehed,Sarola
2156,Ahmednagar,Jamkehed,Rajuri
2157,Ahmednagar,Jamkehed,Vaki
2158,Ahmednagar,Jamkehed,Aarangaon
2159,Ahmednagar,Jamkehed,Dongaon
2160,Ahmednagar,Jamkehed,Patoda
2161,Ahmednagar,Jamkehed,Khamgaon
2162,Ahmednagar,Jamkehed,Dhanora
2163,Ahmednagar,Jamkehed,Ghodegaon
2164,Ahmednagar,Jamkehed,Pimpalwadi
2165,Ahmednagar,Jamkehed,Nagobachivadi
2166,Ahmednagar,Jamkehed,Pandharevadi
2167,Ahmednagar,Jamkehed,Mohari
2168,Ahmednagar,Jamkehed,Taradgaon
2169,Ahmednagar,Jamkehed,Sonegaon
2170,Ahmednagar,Jamkehed,Dolewadi
2171,Ahmednagar,Jamkehed,Loni
2172,Ahmednagar,Jamkehed,Parewadi
2173,Ahmednagar,Jamkehed,Pimparkhed
2174,Ahmednagar,Jamkehed,Vanjarvadi
2175,Ahmednagar,Jamkehed,Bavi
2176,Ahmednagar,Jamkehed,Rajevadi
2177,Ahmednagar,Akole,Jamgaon
2178,Ahmednagar,Akole,Devgaon
2179,Ahmednagar,Akole,Ladgaon
2180,Ahmednagar,Akole,Shenit
2181,Ahmednagar,Akole,Titvi
2182,Ahmednagar,Akole,Rajur
2183,Ahmednagar,Akole,Malegaon
2184,Ahmednagar,Akole,Shenit
2185,Ahmednagar,Akole,Ranad Khu
2186,Ahmednagar,Akole,Akole
2187,Ahmednagar,Akole,Ambad
2188,Ahmednagar,Akole,Sultanpur
2189,Ahmednagar,Akole,Aurangpur
2190,Ahmednagar,Akole,Sangavi
2191,Ahmednagar,Akole,Virgaon
2192,Ahmednagar,Akole,Ambikanagar
2193,Ahmednagar,Akole,Khanapur
2194,Ahmednagar,Akole,Kumbhephal
2195,Ahmednagar,Akole,Dhokari
2196,Ahmednagar,Akole,Rede
2197,Ahmednagar,Akole,Bahirvadi
2198,Ahmednagar,Akole,Kotul
2199,Ahmednagar,Akole,Pangari
2200,Ahmednagar,Akole,Ghoti
2201,Ahmednagar,Akole,Shinde
2202,Ahmednagar,Akole,Karandi
2203,Ahmednagar,Akole,Chas
2204,Ahmednagar,Akole,Balapur
2205,Ahmednagar,Akole,Kalamb
2206,Ahmednagar,Akole,Pisevadi
2207,Ahmednagar,Akole,Vaghapur
2208,Ahmednagar,Akole,Bori
2209,Ahmednagar,Akole,Shendi
2210,Ahmednagar,Akole,Vaki
2211,Ahmednagar,Akole,Ranad Khu
2212,Ahmednagar,Akole,Kothale
2213,Ahmednagar,Parner,Kasare
2214,Ahmednagar,Parner,Palshi
2215,Ahmednagar,Parner,Sawargaon
2216,Ahmednagar,Parner,Karegaon
2217,Ahmednagar,Parner,Dongarwadi
2218,Ahmednagar,Parner,Pokhari
2219,Ahmednagar,Parner,Dhoki
2220,Ahmednagar,Parner,Parner
2221,Ahmednagar,Parner,Kinhi
2222,Ahmednagar,Parner,Supa
2223,Ahmednagar,Parner,Diksal
2224,Ahmednagar,Parner,Astagaon
2225,Ahmednagar,Parner,Ghanegaon
2226,Ahmednagar,Parner,Sultanpur
2227,Ahmednagar,Parner,Jadhavwadi
2228,Ahmednagar,Parner,Pabal
2229,Ahmednagar,Parner,Karandi
2230,Ahmednagar,Parner,Chincholi
2231,Ahmednagar,Parner,Jamgaon
2232,Ahmednagar,Parner,Baburdi
2233,Ahmednagar,Parner,Jategaon
2234,Ahmednagar,Parner,Padali
2235,Ahmednagar,Parner,Nighoj
2236,Ahmednagar,Parner,Javala
2237,Ahmednagar,Parner,Shirapur
2238,Ahmednagar,Rahuri,Taharabad
2239,Ahmednagar,Rahuri,Chikalthana
2240,Ahmednagar,Rahuri,Kolewadi
2241,Ahmednagar,Rahuri,Kanadgaon
2242,Ahmednagar,Rahuri,Rampur
2243,Ahmednagar,Rahuri,Dhanore
2244,Ahmednagar,Rahuri,Wadner
2245,Ahmednagar,Rahuri,Chincholi
2246,Ahmednagar,Rahuri,Amalner
2247,Ahmednagar,Rahuri,Saval
2248,Ahmednagar,Rahuri,Gangapur
2249,Ahmednagar,Rahuri,Kesapur
2250,Ahmednagar,Rahuri,Ghamori Bu
2251,Ahmednagar,Rahuri,Ghamori Bu
2252,Ahmednagar,Sagmner,Rajapur
2253,Ahmednagar,Sagmner,Mangalapur
2254,Ahmednagar,Sagmner,Chikhli
2255,Ahmednagar,Sagmner,Shirasgaon
2256,Ahmednagar,Sagmner,Pimpalgaon
2257,Ahmednagar,Sagmner,Sangavi
2258,Ahmednagar,Sagmner,Shivapur
2259,Ahmednagar,Sagmner,Balapur
2260,Ahmednagar,Sagmner,Manoli
2261,Ahmednagar,Sagmner,Aurangpur
2262,Ahmednagar,Sagmner,Kokangaon
2263,Ahmednagar,Sagmner,Rahimpur
2264,Ahmednagar,Sagmner,Shedgaon
2265,Ahmednagar,Sagmner,Kankapur
2266,Ahmednagar,Sagmner,Talegaon
2267,Ahmednagar,Sagmner,Hasnabad
2268,Ahmednagar,Sagmner,Kakdwadi
2269,Ahmednagar,Sagmner,Lohare
2270,Ahmednagar,Sagmner,Kasare
2271,Ahmednagar,Sagmner,Karhe
2272,Ahmednagar,Sagmner,Sonewadi
2273,Ahmednagar,Sagmner,Kuran
2274,Ahmednagar,Sagmner,Malwadi
2275,Ahmednagar,Sagmner,Kelewadi
2276,Ahmednagar,Sagmner,Ghargaon
2277,Ahmednagar,Sagmner,Sakur
2278,Ahmednagar,Sagmner,Darewadi
2279,Ahmednagar,Sagmner,Jambut Bu.
2280,Ahmednagar,Sagmner,Kumbharwadi
2281,Ahmednagar,Sagmner,Jambut Bu.
2282,Ahmednagar,Sagmner,Kansewadi
2283,Ahmednagar,Sagmner,Digras
2284,Ahmednagar,Sagmner,Shirapur
2285,Ahmednagar,Sagmner,Rayate
2286,Ahmednagar,Sagmner,Kharadi
2287,Ahmednagar,Sagmner,Kolhewadi
2288,Ahmednagar,Sagmner,Deogaon
2289,Ahmednagar,Sagmner,Khandgaon
2290,Ahmednagar,Rahata,Rajuri
2291,Ahmednagar,Rahata,Lohagaon
2292,Ahmednagar,Rahata,Loni Khu.
2293,Ahmednagar,Rahata,Walki
2294,Ahmednagar,Rahata,Mamdapur
2295,Ahmednagar,Rahata,Gogalgaon
2296,Ahmednagar,Rahata,Astagaon
2297,Ahmednagar,Rahata,Morewadi
2298,Ahmednagar,Rahata,Rahata
2299,Ahmednagar,Rahata,Nighoj
2300,Ahmednagar,Rahata,Tisgaon
2301,Ahmednagar,Rahata,Rampurwadi
2302,Ahmednagar,Rahata,Pimpalwadi
2303,Ahmednagar,Rahata,Rui
2304,Ahmednagar,Rahata,Chitali
2305,Ahmednagar,Rahata,Wakadi
2306,Ahmednagar,Rahata,Jalgaon
2307,Ahmednagar,Shrirampur,Sirasgaon
2308,Ahmednagar,Shrirampur,Dattanagar
2309,Ahmednagar,Shrirampur,Umbargaon
2310,Ahmednagar,Shrirampur,Ukalgaon
2311,Ahmednagar,Shrirampur,Khanapur
2312,Ahmednagar,Shrirampur,Khandala
2313,Ahmednagar,Shrirampur,Eklahare
2314,Ahmednagar,Shrirampur,Bhokar
2315,Ahmednagar,Shrirampur,Khirdi
2316,Ahmednagar,Shrirampur,Ladgaon
2317,Ahmednagar,Shrirampur,Kanhegaon
2318,Ahmednagar,Shrirampur,Gondegaon
2319,Ahmednagar,Shrirampur,Jafrabad
2320,Ahmednagar,Shrirampur,Matulthan
2321,Ahmednagar,Shrirampur,Galnimb
2322,Ahmednagar,Shrirampur,Karegaon
2323,Ahmednagar,Shrirampur,Gujarwadi
2324,Ahmednagar,Shrirampur,Dighi
2325,Ahmednagar,Shrirampur,Rampur
2326,Ahmednagar,Shrirampur,Naigaon
2327,Ahmednagar,Shrirampur,Malewadi
2328,Ahmednagar,Shrirampur,Mandwe
2329,Ahmednagar,Shrigaonda,Gawanewadi
2330,Ahmednagar,Shrigaonda,Kokangaon
2331,Ahmednagar,Shrigaonda,Ghodegaon
2332,Ahmednagar,Shrigaonda,Wadali
2333,Ahmednagar,Shrigaonda,Pedgaon
2334,Ahmednagar,Shrigaonda,Arvi
2335,Ahmednagar,Shrigaonda,Shedgaon
2336,Ahmednagar,Shrigaonda,Bhawadi
2337,Ahmednagar,Shrigaonda,Kansewadi
2338,Ahmednagar,Shrigaonda,Kashti
2339,Ahmednagar,Shrigaonda,Wagdari
2340,Ahmednagar,Shrigaonda,Ghargaon
2341,Ahmednagar,Shrigaonda,Pargaon
2342,Ahmednagar,Shrigaonda,Gawanewadi
2343,Ahmednagar,Shrigaonda,Ghogargaon
2344,Ahmednagar,Shrigaonda,Taradgaon
2345,Ahmednagar,Shrigaonda,Lagadwadi
2346,Ahmednagar,Shrigaonda,Kotul
2347,Ahmednagar,Shrigaonda,Koregaon
2348,Ahmednagar,Shrigaonda,Ukalgaon
2349,Ahmednagar,Shrigaonda,Bori
2350,Ahmednagar,Shrigaonda,Rajapur
2351,Ahmednagar,Shrigaonda,Khandgaon
2352,Ahmednagar,Shrigaonda,Kolgaon
2353,Ahmednagar,Shrigaonda,Visapur
2354,Ahmednagar,Shrigaonda,Chikali
2355,Ahmednagar,Shrigaonda,Suregaon
2356,Ahmednagar,Shevgaon,Golegaon
2357,Ahmednagar,Shevgaon,Kolgaon
2358,Ahmednagar,Shevgaon,Murmi
2359,Ahmednagar,Shevgaon,Sukali
2360,Ahmednagar,Shevgaon,Warkhed
2361,Ahmednagar,Shevgaon,Belgaon
2362,Ahmednagar,Shevgaon,Hasanapur
2363,Ahmednagar,Shevgaon,Nagalwadi
2364,Ahmednagar,Shevgaon,Wadgaon
2365,Ahmednagar,Shevgaon,Aapegaon
2366,Ahmednagar,Shevgaon,Bhagur
2367,Ahmednagar,Shevgaon,Chapadgaon
2368,Ahmednagar,Shevgaon,Dadegaon
2369,Ahmednagar,Shevgaon,Ghotan
2370,Ahmednagar,Shevgaon,Hatgaon
2371,Ahmednagar,Shevgaon,Aakhtwade
2372,Ahmednagar,Shevgaon,Bhaygaon
2373,Ahmednagar,Shevgaon,Dahiphal
2374,Ahmednagar,Shevgaon,Gadewadi
2375,Ahmednagar,Shevgaon,Kambi
2376,Ahmednagar,Shevgaon,Khamgaon
2377,Ahmednagar,Shevgaon,Malegaon
2378,Ahmednagar,Shevgaon,Shevgaon
2379,Ahmednagar,Shevgaon,Talni
2380,Ahmednagar,Shevgaon,Khanapur
2381,Ahmednagar,Shevgaon,Lakhmapur
2382,Ahmednagar,Shevgaon,Murshatpur
2383,Ahmednagar,Shevgaon,Malkapur
2384,Ahmednagar,Shevgaon,Shahapur
2385,Ahmednagar,Shevgaon,Wagholi
2386,Ahmednagar,Pathardi,Saidapur
2387,Ahmednagar,Pathardi,Pathardi
2388,Ahmednagar,Pathardi,Ranjani
2389,Ahmednagar,Pathardi,Padali
2390,Ahmednagar,Pathardi,Malegaon
2391,Ahmednagar,Pathardi,Handalwadi
2392,Ahmednagar,Pathardi,Dhangarwadi
2393,Ahmednagar,Pathardi,Shindewadi
2394,Ahmednagar,Pathardi,Mohari
2395,Ahmednagar,Pathardi,Karodi
2396,Ahmednagar,Pathardi,Damalwadi
2397,Ahmednagar,Pathardi,Karegaon
2398,Ahmednagar,Pathardi,Bhose
2399,Ahmednagar,Pathardi,Dagadwadi
2400,Ahmednagar,Pathardi,Shirapur
2401,Ahmednagar,Pathardi,Kandgaon
2402,Ahmednagar,Pathardi,Dongarwadi
2403,Ahmednagar,Pathardi,Shiral
2404,Ahmednagar,Pathardi,Kadgaon
2405,Ahmednagar,Pathardi,Damalwadi
2406,Ahmednagar,Pathardi,Gitewadi
2407,Ahmednagar,Pathardi,Ambikanagar
2408,Ahmednagar,Pathardi,Kasarwadi
2409,Ahmednagar,Pathardi,Malewadi
2410,Ahmednagar,Pathardi,Chumbli
2411,Ahmednagar,Pathardi,Manewadi
2412,Ahmednagar,Pathardi,Wadgaon
2413,Ahmednagar,Pathardi,Bhalgaon
2414,Ahmednagar,Pathardi,Kharwandi
2415,Ahmednagar,Pathardi,Bhawarwadi
2416,Ahmednagar,Pathardi,Sakegaon
2417,Ahmednagar,Pathardi,Chitali
2418,Ahmednagar,Pathardi,Kherde
2419,Ahmednagar,Pathardi,Tisgaon
2420,Ahmednagar,Pathardi,Parewadi
2421,Ahmednagar,Pathardi,Mandwe
2422,Ahmednagar,Pathardi,Nimbodi
2423,Ahmednagar,Pathardi,Miri
2424,Ahmednagar,Pathardi,Kasarwadi
2425,Ahmednagar,Pathardi,Aadgaon
2426,Ahmednagar,Pathardi,Yeli
2427,Ahmednagar,Pathardi,Hakewadi
2428,Ahmednagar,Pathardi,Akola
2429,Ahmednagar,Pathardi,Kalewadi
